"Table 1. Per Capita Personal Income, by County, 2019–2021",,,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,,
,Dollars,,,Rank in state,Percent change,,Rank in state,
McCone,"37,815","42,057","46,848",38,11.2,11.4,2,MT
Madison,"66,750","70,067","74,468",1,5.0,6.3,10,MT
Meagher,"44,049","46,482","46,835",39,5.5,0.8,40,MT
Mineral,"40,374","44,492","45,966",43,10.2,3.3,25,MT
Missoula,"53,992","57,895","61,881",4,7.2,6.9,6,MT
Musselshell,"44,810","48,195","49,553",30,7.6,2.8,29,MT
Park,"51,909","55,812","59,558",7,7.5,6.7,7,MT
Petroleum,"34,028","36,335","31,503",56,6.8,-13.3,56,MT
Phillips,"39,054","43,494","44,926",44,11.4,3.3,26,MT
Pondera,"49,912","56,521","52,704",23,13.2,-6.8,49,MT
Powder River,"34,282","40,773","39,838",50,18.9,-2.3,44,MT
Powell,"45,601","49,055","50,932",26,7.6,3.8,22,MT
Prairie,"47,082","54,058","49,204",31,14.8,-9.0,51,MT
Ravalli,"50,072","53,310","56,321",16,6.5,5.6,14,MT
Richland,"59,985","59,934","61,645",5,-0.1,2.9,28,MT
Roosevelt,"36,659","40,608","43,207",47,10.8,6.4,8,MT
Rosebud,"47,753","52,220","53,461",21,9.4,2.4,32,MT
Sanders,"37,037","41,201","42,153",48,11.2,2.3,33,MT
Sheridan,"47,259","53,773","55,476",17,13.8,3.2,27,MT
Silver Bow,"48,451","51,180","54,704",18,5.6,6.9,5,MT
Stillwater,"59,139","62,194","64,917",3,5.2,4.4,19,MT
Sweet Grass,"51,626","55,732","57,852",10,8.0,3.8,23,MT
Teton,"49,178","53,825","50,240",28,9.4,-6.7,48,MT
Toole,"49,222","54,000","49,135",33,9.7,-9.0,52,MT
Treasure,"51,812","56,527","49,706",29,9.1,-12.1,54,MT
Valley,"46,099","50,260","56,541",15,9.0,12.5,1,MT
Wheatland,"40,321","43,115","44,640",45,6.9,3.5,24,MT
Wibaux,"41,574","45,705","48,904",34,9.9,7.0,4,MT
Yellowstone,"52,992","56,075","59,415",8,5.8,6.0,12,MT
,,,,,,,,
Nebraska,"54,182","57,421","61,205",--,6.0,6.6,--,NE
Adams,"50,436","53,834","58,072",59,6.7,7.9,45,NE
Antelope,"57,774","71,488","74,129",8,23.7,3.7,80,NE
Arthur,"49,775","54,348","58,171",56,9.2,7.0,56,NE
Banner,"58,969","61,329","68,909",14,4.0,12.4,15,NE
Blaine,"58,725","66,390","62,594",37,13.1,-5.7,92,NE
Boone,"56,680","66,670","74,085",9,17.6,11.1,20,NE
Box Butte,"48,835","50,917","55,642",73,4.3,9.3,34,NE
Boyd,"58,251","65,645","74,685",6,12.7,13.8,9,NE
Brown,"56,927","63,013","63,598",31,10.7,0.9,88,NE
Buffalo,"56,553","59,369","61,763",39,5.0,4.0,77,NE
Burt,"47,652","52,212","56,557",68,9.6,8.3,40,NE
Butler,"48,773","55,051","59,717",51,12.9,8.5,39,NE
Cass,"53,565","56,967","60,920",42,6.4,6.9,57,NE
Cedar,"51,013","58,553","66,572",22,14.8,13.7,10,NE
Chase,"60,268","68,404","69,366",13,13.5,1.4,86,NE
Cherry,"47,074","54,140","55,302",74,15.0,2.1,85,NE
Cheyenne,"48,869","51,608","52,730",82,5.6,2.2,84,NE
Clay,"52,353","58,528","63,915",29,11.8,9.2,36,NE
Colfax,"44,150","50,636","54,392",79,14.7,7.4,49,NE
Cuming,"64,751","72,236","71,979",11,11.6,-0.4,90,NE
Custer,"49,256","56,374","58,544",54,14.5,3.8,79,NE
Dakota,"41,615","44,031","48,756",90,5.8,10.7,21,NE
Dawes,"39,476","44,425","47,375",91,12.5,6.6,62,NE
Dawson,"44,578","48,074","49,653",88,7.8,3.3,81,NE
Deuel,"40,961","43,499","46,093",92,6.2,6.0,65,NE
Dixon,"44,757","50,265","54,144",80,12.3,7.7,46,NE
Dodge,"48,081","52,163","56,298",69,8.5,7.9,44,NE
Douglas,"63,204","64,768","68,699",15,2.5,6.1,64,NE
Dundy,"71,482","85,446","93,788",1,19.5,9.8,29,NE
Fillmore,"57,200","62,796","68,697",16,9.8,9.4,32,NE
Franklin,"52,677","62,114","68,092",18,17.9,9.6,30,NE
Frontier,"39,203","47,254","55,020",77,20.5,16.4,5,NE
Furnas,"46,142","53,829","59,961",48,16.7,11.4,19,NE
Gage,"48,682","52,502","57,838",60,7.8,10.2,27,NE
Garden,"47,020","51,193","57,475",62,8.9,12.3,16,NE
Garfield,"46,130","54,226","54,771",78,17.6,1.0,87,NE
Gosper,"52,047","60,103","67,627",20,15.5,12.5,14,NE
Grant,"50,847","56,159","59,952",49,10.4,6.8,59,NE
Greeley,"51,465","59,544","66,840",21,15.7,12.3,17,NE
Hall,"43,633","47,179","51,566",86,8.1,9.3,33,NE
Hamilton,"53,781","60,279","65,739",25,12.1,9.1,37,NE
Harlan,"57,567","63,737","66,306",23,10.7,4.0,78,NE
Hayes,"70,204","81,633","90,144",2,16.3,10.4,25,NE
Hitchcock,"42,440","49,549","59,923",50,16.8,20.9,1,NE
Holt,"52,409","59,866","66,231",24,14.2,10.6,22,NE
Hooker,"47,599","48,980","49,027",89,2.9,0.1,89,NE
Howard,"46,850","52,024","55,957",72,11.0,7.6,48,NE
Jefferson,"48,162","52,524","56,274",70,9.1,7.1,53,NE
Johnson,"34,566","38,725","42,104",93,12.0,8.7,38,NE
Kearney,"57,267","63,956","72,421",10,11.7,13.2,12,NE
Keith,"45,436","48,869","52,394",83,7.6,7.2,51,NE
Keya Paha,"52,357","63,851","62,968",36,22.0,-1.4,91,NE
Kimball,"46,172","52,000","55,021",76,12.6,5.8,67,NE
Knox,"46,881","53,730","57,577",61,14.6,7.2,52,NE
Lancaster,"51,035","53,827","56,782",67,5.5,5.5,69,NE
Lincoln,"49,617","53,436","58,484",55,7.7,9.4,31,NE
Logan,"52,031","57,256","60,186",45,10.0,5.1,71,NE
Loup,"58,268","65,201","69,695",12,11.9,6.9,58,NE
McPherson,"51,745","67,927","63,343",34,31.3,-6.7,93,NE
Madison,"51,683","55,695","60,169",46,7.8,8.0,43,NE
Merrick,"48,814","52,538","56,823",65,7.6,8.2,41,NE
Morrill,"57,763","63,827","65,524",26,10.5,2.7,82,NE
Nance,"40,694","47,317","55,096",75,16.3,16.4,4,NE
Nemaha,"48,317","51,393","56,823",65,6.4,10.6,24,NE
Nuckolls,"53,019","59,933","68,062",19,13.0,13.6,11,NE
Otoe,"55,614","58,784","63,569",32,5.7,8.1,42,NE
Pawnee,"44,972","53,131","58,774",53,18.1,10.6,23,NE
Perkins,"64,894","75,072","87,847",3,15.7,17.0,3,NE
Phelps,"54,090","60,264","63,430",33,11.4,5.3,70,NE
Pierce,"57,035","62,386","68,647",17,9.4,10.0,28,NE
Platte,"48,329","52,458","56,149",71,8.5,7.0,55,NE
Polk,"53,709","57,864","65,364",27,7.7,13.0,13,NE
Red Willow,"46,784","51,790","53,974",81,10.7,4.2,76,NE
Richardson,"49,797","54,936","60,001",47,10.3,9.2,35,NE
Rock,"64,946","76,670","80,527",5,18.1,5.0,72,NE
Saline,"42,769","46,753","51,623",85,9.3,10.4,26,NE
Sarpy,"52,202","54,900","58,084",58,5.2,5.8,68,NE
Saunders,"53,994","57,644","61,840",38,6.8,7.3,50,NE
Scotts Bluff,"45,546","49,089","51,337",87,7.8,4.6,73,NE
Seward,"51,016","55,580","58,829",52,8.9,5.8,66,NE
Sheridan,"50,584","56,304","60,271",43,11.3,7.0,54,NE
Sherman,"44,880","51,164","60,225",44,14.0,17.7,2,NE
Sioux,"59,849","65,082","74,215",7,8.7,14.0,8,NE
Stanton,"47,073","54,803","61,286",41,16.4,11.8,18,NE
Thayer,"52,792","59,847","63,828",30,13.4,6.7,61,NE
Thomas,"57,707","59,914","61,324",40,3.8,2.4,83,NE
Thurston,"41,718","49,998","57,406",63,19.8,14.8,7,NE
Valley,"52,167","60,546","63,254",35,16.1,4.5,74,NE
Washington,"58,221","61,147","65,143",28,5.0,6.5,63,NE
Wayne,"43,613","48,187","51,852",84,10.5,7.6,47,NE
Webster,"51,108","54,802","57,191",64,7.2,4.4,75,NE
Wheeler,"73,088","72,748","83,722",4,-0.5,15.1,6,NE
York,"48,928","54,506","58,148",57,11.4,6.7,60,NE
,,,,,,,,
Nevada,"52,602","55,406","60,213",--,5.3,8.7,--,NV
Churchill,"45,923","49,871","54,726",9,8.6,9.7,3,NV
Clark,"51,012","53,562","58,276",6,5.0,8.8,6,NV
Douglas,"77,239","81,033","87,214",1,4.9,7.6,10,NV
Elko,"47,458","50,436","52,754",12,6.3,4.6,14,NV
Esmeralda,"51,386","47,507","55,007",8,-7.5,15.8,1,NV
Eureka,"47,549","47,833","49,606",13,0.6,3.7,17,NV
Humboldt,"47,967","50,801","53,564",10,5.9,5.4,12,NV
Lander,"67,315","69,536","72,511",3,3.3,4.3,15,NV
Lincoln,"45,484","49,336","53,269",11,8.5,8.0,9,NV
Lyon,"40,283","44,043","48,247",15,9.3,9.5,4,NV
Mineral,"41,053","47,029","48,836",14,14.6,3.8,16,NV
Nye,"37,624","39,534","42,796",16,5.1,8.3,8,NV
Pershing,"33,070","37,287","39,688",17,12.8,6.4,11,NV
Storey,"60,420","69,486","77,775",2,15.0,11.9,2,NV
Washoe,"62,117","65,674","71,436",4,5.7,8.8,7,NV
White Pine,"48,628","53,734","56,241",7,10.5,4.7,13,NV
Carson City,"50,973","55,239","60,445",5,8.4,9.4,5,NV
,,,,,,,,
New Hampshire,"64,747","68,542","73,200",--,5.9,6.8,--,NH
Belknap,"64,287","67,965","71,958",3,5.7,5.9,6,NH
Carroll,"63,343","66,897","69,803",5,5.6,4.3,10,NH
Cheshire,"53,260","58,093","64,870",7,9.1,11.7,1,NH
Coos,"45,254","49,535","52,132",10,9.5,5.2,9,NH
Grafton,"66,344","70,687","74,813",2,6.5,5.8,7,NH
Hillsborough,"63,263","67,127","71,849",4,6.1,7.0,3,NH
Merrimack,"60,412","64,478","68,222",6,6.7,5.8,8,NH
Rockingham,"79,315","82,496","88,303",1,4.0,7.0,2,NH
Strafford,"53,852","57,449","61,139",9,6.7,6.4,5,NH
Sullivan,"55,373","59,379","63,225",8,7.2,6.5,4,NH
,,,,,,,,
New Jersey,"68,438","71,505","77,016",--,4.5,7.7,--,NJ
Atlantic,"50,196","55,273","58,310",19,10.1,5.5,20,NJ
Bergen,"87,903","90,759","97,343",4,3.2,7.3,11,NJ
Burlington,"62,113","65,654","69,496",13,5.7,5.9,19,NJ
Camden,"53,811","57,483","61,642",16,6.8,7.2,12,NJ
Cape May,"63,302","68,326","72,010",10,7.9,5.4,21,NJ
Cumberland,"40,014","43,844","47,559",21,9.6,8.5,6,NJ
Essex,"63,975","68,192","74,310",8,6.6,9.0,3,NJ
Gloucester,"55,704","58,909","62,553",15,5.8,6.2,18,NJ
Hudson,"64,645","65,509","72,046",9,1.3,10.0,1,NJ
Hunterdon,"90,649","93,279","100,288",3,2.9,7.5,9,NJ
Mercer,"68,721","71,990","77,911",6,4.8,8.2,7,NJ
Middlesex,"61,440","64,920","70,221",12,5.7,8.2,8,NJ
Monmouth,"82,513","86,029","92,119",5,4.3,7.1,14,NJ
Morris,"97,774","100,617","107,767",2,2.9,7.1,13,NJ
Ocean,"53,315","56,831","60,823",17,6.6,7.0,15,NJ
Passaic,"50,421","54,514","59,559",18,8.1,9.3,2,NJ
Salem,"48,860","52,936","57,547",20,8.3,8.7,4,NJ
Somerset,"107,923","106,558","113,975",1,-1.3,7.0,17,NJ
Sussex,"63,283","66,431","71,059",11,5.0,7.0,16,NJ
Union,"68,555","70,955","77,007",7,3.5,8.5,5,NJ
Warren,"55,865","58,755","63,041",14,5.2,7.3,10,NJ
,,,,,,,,
New Mexico,"43,530","46,760","50,311",--,7.4,7.6,--,NM
Bernalillo,"46,130","49,817","53,616",5,8.0,7.6,16,NM
Catron,"33,162","36,786","37,990",31,10.9,3.3,31,NM
Chaves,"39,757","42,594","45,577",16,7.1,7.0,21,NM
Cibola,"28,055","31,700","34,627",33,13.0,9.2,5,NM
Colfax,"40,240","44,671","47,563",15,11.0,6.5,26,NM
Curry,"44,392","48,757","52,015",6,9.8,6.7,25,NM
De Baca,"48,600","54,946","56,384",4,13.1,2.6,33,NM
Doña Ana,"38,142","41,597","45,045",18,9.1,8.3,13,NM
Eddy,"59,246","59,518","62,888",3,0.5,5.7,28,NM
Grant,"41,531","44,295","48,537",13,6.7,9.6,3,NM
Guadalupe,"33,980","37,162","43,255",23,9.4,16.4,1,NM
Harding,"40,555","46,965","49,695",11,15.8,5.8,27,NM
Hidalgo,"42,896","47,293","51,465",9,10.3,8.8,10,NM
Lea,"48,054","45,169","48,578",12,-6.0,7.5,17,NM
Lincoln,"41,684","45,210","47,703",14,8.5,5.5,29,NM
Los Alamos,"72,366","75,949","81,306",1,5.0,7.1,20,NM
Luna,"31,164","35,385","38,494",30,13.5,8.8,11,NM
McKinley,"28,158","31,889","34,939",32,13.3,9.6,4,NM
Mora,"43,595","48,632","51,939",7,11.6,6.8,24,NM
Otero,"35,385","38,978","41,657",27,10.2,6.9,23,NM
Quay,"37,684","41,017","44,798",20,8.8,9.2,6,NM
Rio Arriba,"34,872","38,992","42,467",24,11.8,8.9,9,NM
Roosevelt,"39,990","43,456","45,456",17,8.7,4.6,30,NM
Sandoval,"44,713","47,989","51,807",8,7.3,8.0,14,NM
San Juan,"36,599","38,835","41,735",26,6.1,7.5,18,NM
San Miguel,"36,646","41,194","44,889",19,12.4,9.0,8,NM
Santa Fe,"61,879","65,042","69,528",2,5.1,6.9,22,NM
Sierra,"39,373","45,403","49,778",10,15.3,9.6,2,NM
Socorro,"35,357","38,874","42,389",25,9.9,9.0,7,NM
Taos,"37,469","41,670","44,709",21,11.2,7.3,19,NM
Torrance,"34,471","38,437","41,423",28,11.5,7.8,15,NM
Union,"35,867","40,294","41,350",29,12.3,2.6,32,NM
Valencia,"36,192","39,980","43,485",22,10.5,8.8,12,NM
,,,,,,,,
New York,"67,366","71,577","76,837",--,6.3,7.3,--,NY
Albany,"62,495","67,115","70,947",7,7.4,5.7,40,NY
Allegany,"36,813","40,558","42,569",62,10.2,5.0,53,NY
Bronx,"37,090","42,414","46,834",58,14.4,10.4,2,NY
Broome,"43,732","47,712","50,657",44,9.1,6.2,26,NY
Cattaraugus,"40,704","44,629","46,775",59,9.6,4.8,56,NY
Cayuga,"44,668","48,654","51,431",41,8.9,5.7,41,NY
Chautauqua,"41,237","44,998","47,642",56,9.1,5.9,35,NY
Chemung,"45,402","49,108","52,360",36,8.2,6.6,16,NY
Chenango,"42,909","47,183","50,568",46,10.0,7.2,8,NY
Clinton,"44,979","48,408","50,625",45,7.6,4.6,58,NY
Columbia,"57,978","61,949","65,426",10,6.8,5.6,42,NY
Cortland,"41,611","45,921","48,617",54,10.4,5.9,36,NY
Delaware,"42,770","46,157","48,644",53,7.9,5.4,47,NY
Dutchess,"59,590","63,333","67,256",9,6.3,6.2,25,NY
Erie,"50,760","55,229","57,625",22,8.8,4.3,59,NY
Essex,"47,408","51,020","54,109",28,7.6,6.1,31,NY
Franklin,"41,327","45,004","48,658",52,8.9,8.1,5,NY
Fulton,"44,191","48,587","51,558",40,9.9,6.1,29,NY
Genesee,"44,444","48,351","50,662",43,8.8,4.8,57,NY
Greene,"48,849","53,044","55,805",23,8.6,5.2,51,NY
Hamilton,"49,017","52,685","54,556",26,7.5,3.6,62,NY
Herkimer,"44,074","48,208","51,946",39,9.4,7.8,7,NY
Jefferson,"45,905","50,368","53,130",35,9.7,5.5,45,NY
Kings,"51,632","56,349","61,851",15,9.1,9.8,3,NY
Lewis,"46,957","51,181","54,629",25,9.0,6.7,12,NY
Livingston,"46,803","49,549","52,209",37,5.9,5.4,48,NY
Madison,"48,065","51,732","54,766",24,7.6,5.9,37,NY
Monroe,"53,057","57,252","60,046",18,7.9,4.9,54,NY
Montgomery,"42,045","46,018","48,821",51,9.4,6.1,30,NY
Nassau,"89,713","93,715","99,597",3,4.5,6.3,22,NY
New York,"173,525","175,327","195,543",1,1.0,11.5,1,NY
Niagara,"46,393","51,017","53,137",34,10.0,4.2,60,NY
Oneida,"46,034","49,821","53,172",33,8.2,6.7,13,NY
Onondaga,"52,978","57,760","60,992",16,9.0,5.6,43,NY
Ontario,"55,262","59,177","62,051",14,7.1,4.9,55,NY
Orange,"51,803","55,348","58,883",19,6.8,6.4,20,NY
Orleans,"39,657","44,078","46,322",60,11.1,5.1,52,NY
Oswego,"41,695","45,855","48,574",55,10.0,5.9,33,NY
Otsego,"46,240","50,111","53,431",32,8.4,6.6,15,NY
Putnam,"70,345","74,127","78,754",5,5.4,6.2,24,NY
Queens,"48,675","53,838","58,646",20,10.6,8.9,4,NY
Rensselaer,"50,039","54,643","58,126",21,9.2,6.4,21,NY
Richmond,"56,475","60,381","65,113",11,6.9,7.8,6,NY
Rockland,"60,915","64,854","69,173",8,6.5,6.7,14,NY
St. Lawrence,"39,181","42,821","45,626",61,9.3,6.6,18,NY
Saratoga,"67,477","71,652","75,651",6,6.2,5.6,44,NY
Schenectady,"53,917","58,435","62,484",12,8.4,6.9,9,NY
Schoharie,"45,273","49,123","52,027",38,8.5,5.9,34,NY
Schuyler,"42,715","46,769","49,811",47,9.5,6.5,19,NY
Seneca,"40,586","44,704","47,269",57,10.1,5.7,39,NY
Steuben,"47,475","51,050","54,238",27,7.5,6.2,23,NY
Suffolk,"72,292","76,687","81,309",4,6.1,6.0,32,NY
Sullivan,"47,370","51,175","53,874",30,8.0,5.3,49,NY
Tioga,"46,710","50,803","53,919",29,8.8,6.1,28,NY
Tompkins,"45,232","48,541","51,377",42,7.3,5.8,38,NY
Ulster,"53,426","57,057","60,557",17,6.8,6.1,27,NY
Warren,"53,919","59,267","62,392",13,9.9,5.3,50,NY
Washington,"42,093","46,149","49,202",48,9.6,6.6,17,NY
Wayne,"47,651","51,428","53,499",31,7.9,4.0,61,NY
Westchester,"107,755","112,096","119,705",2,4.0,6.8,11,NY
Wyoming,"41,950","45,927","49,062",49,9.5,6.8,10,NY
Yates,"42,576","46,399","48,934",50,9.0,5.5,46,NY
,,,,,,,,
North Carolina,"48,741","51,900","56,173",--,6.5,8.2,--,NC
Alamance,"41,493","44,418","48,118",48,7.0,8.3,60,NC
Alexander,"39,301","42,147","46,513",63,7.2,10.4,23,NC
Alleghany,"40,046","42,648","45,206",71,6.5,6.0,95,NC
Anson,"40,616","42,055","47,744",50,3.5,13.5,4,NC
Ashe,"38,065","41,284","44,203",80,8.5,7.1,89,NC
Avery,"37,300","40,197","43,022",89,7.8,7.0,90,NC
Beaufort,"46,467","49,748","54,165",21,7.1,8.9,45,NC
Bertie,"39,224","42,000","48,377",47,7.1,15.2,3,NC
Bladen,"39,138","43,369","47,567",51,10.8,9.7,30,NC
Brunswick,"50,004","52,706","55,361",19,5.4,5.0,100,NC
Buncombe,"51,095","53,944","57,895",12,5.6,7.3,86,NC
Burke,"37,922","41,229","44,798",76,8.7,8.7,50,NC
Cabarrus,"46,415","49,592","53,647",23,6.8,8.2,66,NC
Caldwell,"37,207","40,147","43,856",82,7.9,9.2,33,NC
Camden,"49,318","52,032","55,457",17,5.5,6.6,93,NC
Carteret,"53,601","57,329","60,741",9,7.0,6.0,96,NC
Caswell,"35,982","38,866","42,247",92,8.0,8.7,49,NC
Catawba,"46,269","49,400","53,333",25,6.8,8.0,72,NC
Chatham,"67,117","70,130","75,624",1,4.5,7.8,75,NC
Cherokee,"34,649","37,421","40,485",98,8.0,8.2,65,NC
Chowan,"43,086","46,206","50,460",33,7.2,9.2,36,NC
Clay,"37,286","40,229","43,300",85,7.9,7.6,79,NC
Cleveland,"38,518","41,569","45,544",70,7.9,9.6,31,NC
Columbus,"36,093","40,202","44,729",77,11.4,11.3,14,NC
Craven,"46,534","50,408","54,135",22,8.3,7.4,83,NC
Cumberland,"39,633","43,028","46,992",54,8.6,9.2,34,NC
Currituck,"50,389","53,380","57,320",15,5.9,7.4,84,NC
Dare,"60,562","65,191","68,887",5,7.6,5.7,97,NC
Davidson,"41,164","44,191","48,086",49,7.4,8.8,46,NC
Davie,"50,977","53,558","57,591",14,5.1,7.5,81,NC
Duplin,"41,559","44,729","51,968",29,7.6,16.2,1,NC
Durham,"52,438","55,464","60,330",10,5.8,8.8,47,NC
Edgecombe,"37,462","40,755","45,069",72,8.8,10.6,20,NC
Forsyth,"49,345","52,167","56,378",16,5.7,8.1,69,NC
Franklin,"38,629","41,482","44,996",74,7.4,8.5,56,NC
Gaston,"41,535","44,739","48,508",46,7.7,8.4,57,NC
Gates,"42,248","45,113","50,100",36,6.8,11.1,18,NC
Graham,"37,164","39,698","43,178",86,6.8,8.8,48,NC
Granville,"40,074","43,069","46,504",64,7.5,8.0,71,NC
Greene,"32,922","35,457","39,564",99,7.7,11.6,11,NC
Guilford,"47,340","50,418","54,651",20,6.5,8.4,58,NC
Halifax,"37,975","40,677","44,948",75,7.1,10.5,21,NC
Harnett,"36,681","39,500","43,484",83,7.7,10.1,26,NC
Haywood,"42,758","45,709","49,639",38,6.9,8.6,51,NC
Henderson,"46,609","48,613","52,634",27,4.3,8.3,62,NC
Hertford,"35,068","38,879","41,973",94,10.9,8.0,73,NC
Hoke,"34,507","37,467","41,652",97,8.6,11.2,16,NC
Hyde,"42,537","45,957","49,175",40,8.0,7.0,91,NC
Iredell,"53,430","56,830","60,791",7,6.4,7.0,92,NC
Jackson,"36,736","39,950","43,362",84,8.7,8.5,54,NC
Johnston,"42,117","45,109","48,950",42,7.1,8.5,55,NC
Jones,"42,088","43,579","50,245",35,3.5,15.3,2,NC
Lee,"42,355","45,022","49,136",41,6.3,9.1,39,NC
Lenoir,"41,500","45,319","50,363",34,9.2,11.1,17,NC
Lincoln,"48,419","51,675","55,368",18,6.7,7.1,88,NC
McDowell,"36,377","39,398","42,960",90,8.3,9.0,41,NC
Macon,"41,975","45,095","48,875",43,7.4,8.4,59,NC
Madison,"37,206","39,775","43,064",88,6.9,8.3,63,NC
Martin,"35,954","38,674","43,176",87,7.6,11.6,10,NC
Mecklenburg,"63,805","66,863","71,836",3,4.8,7.4,82,NC
Mitchell,"37,938","40,735","43,973",81,7.4,7.9,74,NC
Montgomery,"38,850","42,133","46,916",56,8.5,11.4,13,NC
Moore,"54,737","57,819","60,775",8,5.6,5.1,99,NC
Nash,"44,063","46,885","50,714",32,6.4,8.2,67,NC
New Hanover,"50,960","54,391","57,693",13,6.7,6.1,94,NC
Northampton,"39,114","41,617","46,742",62,6.4,12.3,9,NC
Onslow,"44,307","46,972","50,869",31,6.0,8.3,61,NC
Orange,"66,970","69,593","74,994",2,3.9,7.8,77,NC
Pamlico,"46,364","49,603","53,355",24,7.0,7.6,80,NC
Pasquotank,"39,929","43,165","47,034",53,8.1,9.0,42,NC
Pender,"42,899","45,375","48,665",44,5.8,7.3,87,NC
Perquimans,"43,540","46,690","51,577",30,7.2,10.5,22,NC
Person,"39,670","42,737","46,879",57,7.7,9.7,29,NC
Pitt,"45,951","49,350","53,200",26,7.4,7.8,76,NC
Polk,"51,561","54,775","59,482",11,6.2,8.6,52,NC
Randolph,"39,292","41,954","45,777",69,6.8,9.1,40,NC
Richmond,"36,629","40,055","44,562",78,9.4,11.3,15,NC
Robeson,"33,639","36,880","41,780",96,9.6,13.3,5,NC
Rockingham,"38,428","41,249","45,049",73,7.3,9.2,35,NC
Rowan,"39,508","42,922","46,763",61,8.6,8.9,43,NC
Rutherford,"35,607","38,741","42,376",91,8.8,9.4,32,NC
Sampson,"37,994","40,646","45,841",68,7.0,12.8,6,NC
Scotland,"34,770","37,527","42,171",93,7.9,12.4,8,NC
Stanly,"40,374","43,279","46,827",59,7.2,8.2,64,NC
Stokes,"39,689","42,290","46,159",67,6.6,9.1,38,NC
Surry,"39,935","42,733","46,963",55,7.0,9.9,27,NC
Swain,"41,006","44,824","49,421",39,9.3,10.3,25,NC
Transylvania,"45,984","48,341","52,252",28,5.1,8.1,68,NC
Tyrrell,"39,263","43,515","47,379",52,10.8,8.9,44,NC
Union,"55,973","59,055","63,777",6,5.5,8.0,70,NC
Vance,"36,561","39,845","44,399",79,9.0,11.4,12,NC
Wake,"62,535","66,147","71,205",4,5.8,7.6,78,NC
Warren,"31,817","35,682","38,740",100,12.1,8.6,53,NC
Washington,"38,154","41,632","46,846",58,9.1,12.5,7,NC
Watauga,"40,810","43,559","46,766",60,6.7,7.4,85,NC
Wayne,"42,187","45,415","49,881",37,7.7,9.8,28,NC
Wilkes,"38,955","41,739","46,169",66,7.1,10.6,19,NC
Wilson,"41,803","44,562","48,642",45,6.6,9.2,37,NC
Yadkin,"39,450","41,874","46,172",65,6.1,10.3,24,NC
Yancey,"37,365","39,832","41,892",95,6.6,5.2,98,NC
,,,,,,,,
North Dakota,"57,110","60,864","64,524",--,6.6,6.0,--,ND
Adams,"48,914","57,099","57,586",48,16.7,0.9,46,ND
Barnes,"55,652","63,045","66,463",30,13.3,5.4,30,ND
Benson,"39,623","49,406","55,282",50,24.7,11.9,12,ND
Billings,"79,623","83,228","92,571",1,4.5,11.2,14,ND
Bottineau,"60,713","68,775","69,935",27,13.3,1.7,42,ND
Bowman,"68,487","69,660","77,069",11,1.7,10.6,15,ND
Burke,"73,848","75,228","72,515",22,1.9,-3.6,52,ND
Burleigh,"60,474","62,746","66,017",32,3.8,5.2,32,ND
Cass,"58,233","61,736","65,803",34,6.0,6.6,27,ND
Cavalier,"63,525","90,480","88,700",2,42.4,-2.0,51,ND
Dickey,"61,984","68,779","73,312",17,11.0,6.6,26,ND
Divide,"58,643","65,123","66,208",31,11.0,1.7,43,ND
Dunn,"74,483","73,707","80,976",5,-1.0,9.9,17,ND
Eddy,"57,092","69,336","72,571",21,21.4,4.7,34,ND
Emmons,"48,876","64,339","72,883",19,31.6,13.3,10,ND
Foster,"58,655","73,729","75,732",14,25.7,2.7,40,ND
Golden Valley,"39,094","44,263","52,279",52,13.2,18.1,6,ND
Grand Forks,"51,236","55,175","58,132",47,7.7,5.4,31,ND
Grant,"43,268","54,801","57,313",49,26.7,4.6,35,ND
Griggs,"55,402","68,358","73,012",18,23.4,6.8,25,ND
Hettinger,"48,588","59,125","58,160",46,21.7,-1.6,50,ND
Kidder,"53,808","66,782","74,589",16,24.1,11.7,13,ND
LaMoure,"60,029","70,840","72,712",20,18.0,2.6,41,ND
Logan,"50,471","60,170","68,365",28,19.2,13.6,9,ND
McHenry,"55,062","62,880","72,140",25,14.2,14.7,7,ND
McIntosh,"59,208","70,439","80,675",6,19.0,14.5,8,ND
McKenzie,"70,441","66,159","72,258",24,-6.1,9.2,18,ND
McLean,"59,239","64,151","76,889",12,8.3,19.9,4,ND
Mercer,"58,481","60,817","65,113",36,4.0,7.1,23,ND
Morton,"52,389","55,406","58,630",45,5.8,5.8,29,ND
Mountrail,"68,215","68,259","72,419",23,0.1,6.1,28,ND
Nelson,"58,823","71,728","70,971",26,21.9,-1.1,47,ND
Oliver,"45,448","52,046","63,441",39,14.5,21.9,3,ND
Pembina,"58,341","71,085","75,974",13,21.8,6.9,24,ND
Pierce,"48,230","56,319","66,733",29,16.8,18.5,5,ND
Ramsey,"49,856","56,950","59,490",44,14.2,4.5,36,ND
Ransom,"54,832","60,122","64,827",37,9.6,7.8,20,ND
Renville,"69,861","79,383","78,282",10,13.6,-1.4,49,ND
Richland,"50,104","53,248","59,919",42,6.3,12.5,11,ND
Rolette,"41,420","48,719","52,939",51,17.6,8.7,19,ND
Sargent,"62,204","68,049","74,799",15,9.4,9.9,16,ND
Sheridan,"48,090","61,315","78,328",9,27.5,27.7,2,ND
Sioux,"29,160","35,078","36,445",53,20.3,3.9,38,ND
Slope,"48,921","62,170","80,270",8,27.1,29.1,1,ND
