"Table 1. Per Capita Personal Income, by County, 2019–2021",,,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,,
,Dollars,,,Rank in state,Percent change,,Rank in state,
Kiowa,"52,817","53,903","75,006",12,2.1,39.1,2,CO
Kit Carson,"42,172","42,436","52,253",37,0.6,23.1,4,CO
Lake,"40,328","44,537","48,942",46,10.4,9.9,18,CO
La Plata,"60,274","63,179","66,944",19,4.8,6.0,58,CO
Larimer,"56,851","60,219","64,258",20,5.9,6.7,49,CO
Las Animas,"38,055","42,016","44,731",55,10.4,6.5,52,CO
Lincoln,"29,608","32,951","37,623",62,11.3,14.2,9,CO
Logan,"43,230","44,239","48,330",49,2.3,9.2,21,CO
Mesa,"46,318","48,884","52,121",38,5.5,6.6,50,CO
Mineral,"66,224","67,967","70,250",17,2.6,3.4,63,CO
Moffat,"41,744","45,652","49,227",45,9.4,7.8,37,CO
Montezuma,"44,060","46,887","50,960",42,6.4,8.7,26,CO
Montrose,"43,187","46,747","50,789",43,8.2,8.6,27,CO
Morgan,"44,756","47,366","52,069",39,5.8,9.9,17,CO
Otero,"36,070","39,281","42,752",59,8.9,8.8,25,CO
Ouray,"67,967","72,871","76,727",10,7.2,5.3,60,CO
Park,"49,865","53,092","57,127",30,6.5,7.6,43,CO
Phillips,"42,230","44,065","50,382",44,4.3,14.3,8,CO
Pitkin,"183,241","187,595","198,939",1,2.4,6.0,57,CO
Prowers,"39,677","41,752","46,073",52,5.2,10.3,14,CO
Pueblo,"39,857","43,513","46,927",51,9.2,7.8,36,CO
Rio Blanco,"47,144","50,197","54,745",33,6.5,9.1,22,CO
Rio Grande,"47,729","52,047","57,350",29,9.0,10.2,15,CO
Routt,"88,318","94,626","98,371",4,7.1,4.0,61,CO
Saguache,"37,140","38,688","43,959",57,4.2,13.6,10,CO
San Juan,"49,887","53,827","58,067",28,7.9,7.9,35,CO
San Miguel,"95,927","101,654","109,613",2,6.0,7.8,38,CO
Sedgwick,"42,382","41,472","51,705",40,-2.1,24.7,3,CO
Summit,"76,517","81,157","86,390",8,6.1,6.4,54,CO
Teller,"54,000","57,928","61,966",24,7.3,7.0,47,CO
Washington,"39,264","41,064","48,270",50,4.6,17.5,5,CO
Weld,"50,117","52,354","56,553",31,4.5,8.0,34,CO
Yuma,"44,269","41,615","48,898",47,-6.0,17.5,6,CO
,,,,,,,,
Connecticut,"75,533","78,463","83,294",--,3.9,6.2,--,CT
Fairfield,"116,996","119,366","127,391",1,2.0,6.7,8,CT
Hartford,"64,283","67,205","70,168",4,4.5,4.4,4,CT
Litchfield,"65,789","69,700","74,852",2,5.9,7.4,7,CT
Middlesex,"68,546","71,602","74,453",3,4.5,4.0,6,CT
New Haven,"56,888","60,128","64,643",5,5.7,7.5,2,CT
New London,"58,362","61,222","63,877",6,4.9,4.3,3,CT
Tolland,"57,947","60,819","63,722",7,5.0,4.8,5,CT
Windham,"47,872","51,376","55,261",8,7.3,7.6,1,CT
,,,,,,,,
Delaware,"54,217","56,324","59,931",--,3.9,6.4,--,DE
Kent,"44,490","46,542","50,432",3,4.6,8.4,1,DE
New Castle,"56,930","59,303","63,189",1,4.2,6.6,2,DE
Sussex,"55,124","56,669","59,472",2,2.8,4.9,3,DE
,,,,,,,,
District of Columbia,"84,671","89,735","96,477",--,6.0,7.5,--,DC
,,,,,,,,
Florida,"54,560","57,292","62,270",--,5.0,8.7,--,FL
Alachua,"45,870","48,858","52,367",27,6.5,7.2,44,FL
Baker,"35,058","37,403","40,735",48,6.7,8.9,17,FL
Bay,"46,452","50,394","53,980",24,8.5,7.1,46,FL
Bradford,"34,515","36,956","39,748",50,7.1,7.6,39,FL
Brevard,"48,725","51,769","55,477",20,6.2,7.2,45,FL
Broward,"54,387","57,878","64,453",12,6.4,11.4,2,FL
Calhoun,"30,016","33,042","35,792",58,10.1,8.3,24,FL
Charlotte,"46,707","49,052","51,677",30,5.0,5.4,63,FL
Citrus,"39,985","42,292","45,050",39,5.8,6.5,50,FL
Clay,"45,319","48,070","51,885",28,6.1,7.9,33,FL
Collier,"110,272","112,479","117,984",1,2.0,4.9,66,FL
Columbia,"37,206","39,839","43,184",44,7.1,8.4,23,FL
DeSoto,"28,389","30,286","32,873",63,6.7,8.5,21,FL
Dixie,"29,496","32,064","33,813",61,8.7,5.5,61,FL
Duval,"47,097","50,307","54,354",22,6.8,8.0,31,FL
Escambia,"44,739","47,837","51,808",29,6.9,8.3,25,FL
Flagler,"50,695","52,613","56,336",19,3.8,7.1,47,FL
Franklin,"36,528","38,995","41,878",45,6.8,7.4,43,FL
Gadsden,"37,238","40,463","44,832",40,8.7,10.8,4,FL
Gilchrist,"36,618","39,046","41,769",46,6.6,7.0,48,FL
Glades,"28,683","31,398","33,401",62,9.5,6.4,54,FL
Gulf,"43,025","45,709","49,250",35,6.2,7.7,36,FL
Hamilton,"27,604","29,767","32,123",65,7.8,7.9,34,FL
Hardee,"29,812","32,358","35,636",59,8.5,10.1,7,FL
Hendry,"34,352","37,672","39,699",52,9.7,5.4,62,FL
Hernando,"39,733","42,585","46,080",36,7.2,8.2,26,FL
Highlands,"36,309","39,163","41,568",47,7.9,6.1,57,FL
Hillsborough,"50,058","53,432","58,140",18,6.7,8.8,18,FL
Holmes,"32,243","34,564","37,381",56,7.2,8.2,27,FL
Indian River,"86,856","89,294","95,109",5,2.8,6.5,51,FL
Jackson,"34,518","36,810","39,322",53,6.6,6.8,49,FL
Jefferson,"43,672","45,771","50,197",32,4.8,9.7,10,FL
Lafayette,"27,405","29,032","31,218",66,5.9,7.5,40,FL
Lake,"43,878","45,880","49,831",34,4.6,8.6,20,FL
Lee,"56,549","59,300","62,885",14,4.9,6.0,58,FL
Leon,"46,842","49,821","54,277",23,6.4,8.9,15,FL
Levy,"37,460","40,271","43,272",43,7.5,7.5,42,FL
Liberty,"26,830","29,988","32,872",64,11.8,9.6,11,FL
Madison,"33,602","36,338","39,165",54,8.1,7.8,35,FL
Manatee,"53,269","55,550","59,152",16,4.3,6.5,52,FL
Marion,"39,153","41,960","45,152",38,7.2,7.6,38,FL
Martin,"92,323","95,026","102,273",3,2.9,7.6,37,FL
Miami-Dade,"56,137","57,713","64,849",11,2.8,12.4,1,FL
Monroe,"98,415","99,764","109,136",2,1.4,9.4,13,FL
Nassau,"63,408","66,227","70,010",9,4.4,5.7,59,FL
Okaloosa,"51,512","54,934","59,384",15,6.6,8.1,29,FL
Okeechobee,"33,555","35,985","39,747",51,7.2,10.5,6,FL
Orange,"46,649","49,597","54,979",21,6.3,10.9,3,FL
Osceola,"36,498","39,421","43,354",42,8.0,10.0,8,FL
Palm Beach,"89,254","92,773","100,627",4,3.9,8.5,22,FL
Pasco,"43,822","46,696","50,479",31,6.6,8.1,28,FL
Pinellas,"57,635","60,996","65,936",10,5.8,8.1,30,FL
Polk,"38,196","40,970","43,556",41,7.3,6.3,55,FL
Putnam,"34,224","37,129","40,376",49,8.5,8.7,19,FL
St. Johns,"74,335","76,387","80,062",6,2.8,4.8,67,FL
St. Lucie,"43,308","45,760","50,038",33,5.7,9.3,14,FL
Santa Rosa,"47,484","50,016","53,778",25,5.3,7.5,41,FL
Sarasota,"72,499","75,070","78,815",7,3.5,5.0,65,FL
Seminole,"50,950","52,916","58,539",17,3.9,10.6,5,FL
Sumter,"59,209","60,900","64,282",13,2.9,5.6,60,FL
Suwannee,"34,336","36,672","39,039",55,6.8,6.5,53,FL
Taylor,"30,671","33,070","35,156",60,7.8,6.3,56,FL
Union,"21,387","23,094","25,293",67,8.0,9.5,12,FL
Volusia,"46,612","48,620","52,964",26,4.3,8.9,16,FL
Wakulla,"39,253","41,625","45,669",37,6.0,9.7,9,FL
Walton,"72,175","74,926","78,714",8,3.8,5.1,64,FL
Washington,"31,302","33,656","36,331",57,7.5,7.9,32,FL
,,,,,,,,
